"이런 예능재미있음.","이런/MDT|예능/NNG|재미/NNG|있음/NNG|./SF" 
"자막이 너무 작고 반투명 박스도 너무 거슬립니다. 자막 설정하는 UI좀 만들어주세요. 이건 아닙니다. 미국이야 자막 안보니까 신경 안쓰이겠지만 타국도 좀 신경 써줘야 하는거 아니겠습니까? 자막 때문에 결제하기 싫어집니다. 불법 다운로드가 가독성 더 좋으면 안되는거 아니겠습니까?","자막/NNG|이/JKS|너무/MAG|작고/NNG|반투명/NNG|박스/NNG|도/JX|너무/MAG|거슬리/VV|ㅂ니다/EFN|./SF|자막/NNG|설정/NNG|하/XSV|는/ETD|UI/OL|좀/MAG|만들/VV|어/ECD|주/VXV|세요/EFN|./SF|이건/NNP|아니/VV|ㅂ니다/EFN|./SF|미국/NNG|이야/JX|자막/NNG|안/MAG|보/VV|니까/ECD|신경/NNG|안/MAG|쓰이/VV|겠/EPT|지만/ECE|타국/NNG|도/JX|좀/MAG|신경/NNG|쓰/VV|어/ECS|주/VXV|어야/ECD|하/VV|는/ETD|거/NNB|아니/VV|겠/EPT|습니까/EFQ|?/SF|자막/NNG|때문/NNB|에/JKM|결제/NNG|하/XSV|기/ETN|싫/VA|어/ECD|지/VXV|ㅂ니다/EFN|./SF|불법/NNG|다운로드/NNG|가/JKS|가/VV|아/ECS|독성/NNG|더/MAG|좋/VV|으면/ECD|안/MAG|되/VV|는/ETD|거/NNB|아니/VV|겠/EPT|습니까/EFQ|?/SF"
"핸드폰으로 볼라는데 자꾸 멈춘다.","스마트폰/NNG|으로/JKM|보/VV|ㄹ라/ECD|는/JX|데/MAG|자꾸/MAG|멈추/VV|ㄴ다/EFN|./SF"
"다른 어플을 실행하면서 그 위에서 재생이 안 되는게 너무 아쉽습니다.","다른/MDT|앱/NNG|을/JKO|실행/NNG|하/XSV|면서/ECE|그/MDT|위/NNG|에서/JKM|재생/NNG|이/JKS|안/MAG|되/VV|는/ETD|것/NNB|이/JKS|너무/MAG|아쉽/VA|습니다/EFN|./SF"
"이거 참 버그 엄청나게 많네요 그중 성인인증도 못하게 하네요 인증번호가 와도 치지를 못하니.","이거/NP|참/MAG|버그/NNG|엄청나/VA|게/ECD|많/VA|네요/EFN|그/MDT|중/NNB|성인/NNG|인증/NNG|도/JX|못하/VX|게/ECD|하/VV|네요/EFN|이/VCP|ㄴ/ETD|증/NNG|번호/NNG|가/JKS|오/VV|아도/ECD|치/VV|지/ECD|를/JX|못하/VX|니/ECD|./SF"
"다 좋은데 자막 사이즈가 다른 OTT에 비해 너무 커요 자막 크기 조정 가능했으면 좋을거같아요.","다/MAG|좋/VA|은데/ECD|자막/NNG|사이즈/NNG|가/JKS|다른/MDT|OTT/OL|에/JKM|비하/VV|어/ECS|너무/MAG|크/VA|어요/EFN|자막/NNG|크기/NNG|조정/NNG|가능/NNG|하/XSV|었/EPT|으면/ECD|좋/VA|을/ETD|거/NNB|같/VA|아요/EFN|./SF"
"내용물은 다 좋은데 모바일에선 유튜브처럼 다른 작업하면서도 볼 수 있게 작은 화면으로 볼 수 있는 기능이 추가되면 더 좋겠어요.","내용물/NNG|은/JX|다/MAG|좋/VA|은데/ECD|스마트폰/NNG|에서/JKM|는/JX|유튜브/NNG|처럼/JKM|다르/VA|ㄴ/ETD|작업/NNG|하/XSV|면서/ECE|도/JX|보/VV|ㄹ/ETD|수/NNB|있/VV|게/ECD|작/VA|은/ETD|화면/NNG|으로/JKM|보/VV|ㄹ/ETD|수/NNB|있/VV|는/ETD|기능/NNG|이/JKS|추가/NNG|되/VV|면/ECE|더/MAG|좋/VA|겠/EPT|어요/EFN|./SF"
"자막판으로 못 바꾸는 사람들들 특 영어못함.","자/VV|아/ECS|막판/NNG|으로/JKM|못/MAG|바꾸/VV|는/ETD|사람/NNG|들/XSN|들/VV|ㄹ/ETD|특/UN|영어/NNG|못/NNG|하/XSV|ㅁ/ETN|./SF"
"심슨 뮬란 등 제가 좋아했던 만화를 다시 볼 수 있어서 너무 좋아요 하나 아쉬운 점이 있다면 화면에서 소리조절기능이라든지 화면밝기조절기능을 추가해주셨으면 좋겠습니다.","심/NNG|슬/VV|ㄴ/ETD|뮬/UN|란/NNG|등/NNB|제가/NNG|좋/VV|었/EPT|더/EPT|ㄴ/ETD|만화/NNG|를/JKO|다시/MAG|보/VV|ㄹ/ETD|수/NNB|있/VV|어서/ECD|너무/MAG|좋/VA|아요/EFN|하나/NNG|아쉽/VA|ㄴ/ETD|점/NNG|이/JKS|있/VA|다면/ECE|화면/NNG|에서/JKM|소리/NNG|조절/NNG|기능/NNG|이/VCP|라든지/ECE|화면/NNG|밝기/NNG|조절/NNG|기능/NNG|을/JKO|추가/NNG|하/XSV|어/ECS|주/VXV|시/EPH|었/EPT|으면/ECD|좋/VA|겠/EPT|습니다/EFN|./SF"
"깔지 않았는데 사람들이 별 하나니 나도하나.","깔/VV|ㄹ지/ECD|안/MAG|았/EPT|는데/ECD|사람/NNG|들/XSN|이/JKS|별/NNG|하나/NNG|니/JC|나도/NNG|하나/NR|./SF"
"KM6 TV박스 사용중인데 한국드라마는소리잘나오는데 마블이나외국관련영상은 소리가안나옵니다 해결방법이 있습니까?","KM/OL|6/NR|TV/OL|박스/NNG|사용/NNG|중/NNB|이/VCP|ㄴ데/ECE|한국/NNG|드라마/NNG|는/JX|소리/NNG|잘/MAG|나오/VV|는데/ECD|마블/NNG|이나/JC|외국/NNG|관련/NNG|영상/NNG|은/JX|소리/NNG|가/JKS|안/MAG|나오/VV|ㅂ니다/EFN|해결/NNG|방법/NNG|이/JKS|있/VV|습니까/EFQ|?/SF"
"오류코드39번이자꾸 뜨는데 몬가요? 영상을재생할수없다고합니다.","오류/NNG|코드/NNG|39/NR|번/NNM|이/JKS|자꾸/MAG|뜨/VV|는데/ECD|몬/MAG|가요/NNG|?/SF|영상/NNG|을/JKO|재생/NNG|하/XSV|ㄹ/ETD|수/NNB|없다/VA|고/ECE|하/VV|ㅂ니다/EFN|./SF"
"자막 너무작아 가독성 떨어지고 다운로드 오래걸리고 로딩 너무 느려요.","자막/NNG|너무/MAG|작/VA|아/ECD|가/VV|아/ECS|독성/NNG|떨어지/VV|고/ECE|다운로드/NNG|오래/MAG|걸리/VV|고/ECE|로딩/NNG|너무/MAG|느리/VA|어요/EFN|./SF"
"어떻게든해봐요 앱구동이 안됨.","어떻게/MAG|든/JX|해보/VV|아요/EFN|앱/NNG|구동/NNP|이/JKS|안/MAG|되/VV|./SF"
"성인인증히려는데 PIN입력이 아예안되는데요?","성인/NNG|인증/NNG|히/VV|려는/ETD|데/NNB|PIN/OL|입력/NNG|이/JKS|아예/MAG|안/MAG|되/VV|는데요/ECD|?/SF"
"심슨가족 시즌1 6화부터 자막 싱크가 안맞음 돈주고보는건데 신경좀 써주세요.","심/NNG|슬/VV|ㄴ/ETD|가족/NNG|시즌/NNG|1/NR|6/NR|화/NNM|부터/JX|자막/NNG|싱크/NNG|가/JKS|안/MAG|맞/VV|음/ETN|돈/NNG|주/VV|보/VV|는/ETD|것/NNB|이/VCP|ㄴ데/ECD|신경/NNG|좀/MAG|쓰/VV|어/ECS|주/VXV|세요/EFN|./SF"
"올레티비 굿바이다.","올레/NNG|티비/NNG|굿바이/NNG|이/VCP|다/EFN|./SF"
"통화 중에 재생 불가. 친구랑 전화하면서 못 봄.","통화/NNG|중/NNB|에/JKM|재생/NNG|불가/NNG|./SF|친구/NNG|랑/JC|전화/NNG|하/XSV|면서/ECE|못/MAG|봄/NNG|./SF"
"환불처리 빨리 해주세요.","환불/NNG|처리/NNG|빨리/MAG|하/VV|어/ECS|주/VXV|세요/EFN|./SF"
"디즈니 콘텐츠 이용이 가능한건 매력적이지만 가족끼리 계정 공유할 때마다 이런저런 렉이 걸려서 귀찮음.","디즈니/NNG|콘텐츠/NNG|이용/NNG|이/JKS|가능/NNG|하/XSV|ㄴ/ETD|건/NNG|매력적/NNG|이/VCP|지만/ECE|가족/NNG|끼리/XSN|계/NNG|정/NNG|공유/NNG|하/XSV|ㄹ/ETD|때/NNG|마다/JX|이런저런/MDT|버퍼링/NNG|이/JKS|걸리/VV|어서/ECD|귀찮/VA|음/ETN|./SF"
"알럽 디즈니 알럽 픽사 알럽 몬스터주식회사.","알/VV|ㄹ/ETD|럽/UN|디즈니/NNG|알/VV|ㄹ/ETD|럽/UN|픽/MAG|사/VV|아/ECS|알/VV|ㄹ/ETD|럽/UN|몬스터/NNG|주식회사/NNG|./SF"
"정식 출시면서 자막 이게 최선이야? 싱크 안 맞는거는 좀 심한 거 아닌가?","정식/NNG|출시/NNG|이/VCP|면/ECE|스/VV|어/ECS|자막/NNG|이것/NP|이/JKS|최선/NNG|이/VCP|야/EFN|?/SF|싱크/NNG|안/MAG|맞/VV|는/ETD|거/NNB|는/JX|좀/MAG|심하/VA|ㄴ/ETD|거/NNB|아니/VCN|ㄴ가/EFQ|?/SF"
"한글자막 번역이 너무 엉망이네요.싱크 안맞을때도 많구요.","한글/NNG|자막/NNG|번역/NNG|이/JKS|너무/MAG|엉망/NNG|이/VCP|네요/EFN|./SF|싱크/NNG|안/MAG|맞/VV|을/ETD|때/NNG|도/JX|많/VA|구요/EFN|./SF"
"인크레더블2 보는데 자막 싱크가 안맞네요 돈 내고 보는데 영화 한 편 제대로 못보네요. 솔직히 실망입니다 그래서 그냥 한국어 더빙으로 본다능.","이/VCP|ㄴ/ETD|크레/UN|더블/NNG|2/NR|보/VV|는데/ECD|자막/NNG|싱크/NNG|가/JKS|안/MAG|맞/VV|네요/EFN|돈/NNG|내/VV|보/VV|는데/ECD|영화/NNG|한/MDN|편/NNB|제대로/MAG|못/MAG|보/VV|네요/EFN|./SF|솔직히/MAG|실망/NNG|이/VCP|ㅂ니다/EFN|그래서/MAC|그냥/MAG|한국어/NNG|더빙/NNG|으로/JKM|보/VV|ㄴ다/ECS|능/NNG|./SF"
"왜 성인인증이 안되나요.","왜/MAG|성인/NNG|인증/NNG|이/JKS|안/MAG|되/VV|나요/EFQ|./SF"
"시청중인 콘텐츠 삭제 기능이 없는것 시인성 문제 등 타 앱들과 비교했을때 부족한 기능과 시스템이 많이 보입니다. 빠른 개선이 필요할듯합니다.","시청/NNG|중인/NNG|콘텐츠/NNG|삭제/NNG|기능/NNG|이/JKS|없/VA|는/ETD|것/NNB|시인/NNG|성/XSN|문제/NNG|등/NNB|타/NNM|앱/NNG|들/XSN|과/JKO|비교/NNG|하/XSV|었/EPT|을/ETD|때/NNG|부족/NNG|하/XSV|ㄴ/ETD|기능/NNG|과/JC|시스템/NNG|이/JKS|많이/MAG|보/VV|ㅂ니다/EFN|./SF|빠르/VA|ㄴ/ETD|개선/NNG|이/JKS|필요/NNG|하/XSV|ㄹ/ETD|듯하/VXA|ㅂ니다/EFN|./SF"
"한글 자막 배경이 검은색으로 나와서 짜증나셨죠? 저도 그랬습니다. 디플 앱에서는 설정이 불가능해요. 해결방법이 있습니다. 설정 들어가셔서 자막으로 검색하시면 구글 자막 CC 뜹니다. 눌러서 배경색 사용안함 설정하고 글씨 크기도 취향에 맞게 설정해주세요. 그럼 즐감 되세요.","한글/NNG|자막/NNG|배경/NNG|이/JKS|검정색/NNG|으로/JKM|나오/VV|아서/ECD|짜증나/VV|시/EPH|었/EPT|죠/EFN|?/SF|저/NP|도/JX|그리하/VV|였/EPT|습니다/EFN|./SF|디즈니플러스/NNG|앱/NNG|에서/JKM|는/JX|설정/NNG|이/JKS|불가능/NNG|하/XSV|어요/EFN|./SF|해결/NNG|방법/NNG|이/JKS|있/VV|습니다/EFN|./SF|설정/NNG|들어가/VV|시/EPH|어서/ECD|자막/NNG|으로/JKM|검색/NNG|하/XSV|시/EPH|면/ECE|구글/NNG|자막/NNG|CC/OL|뜨/VV|ㅂ니다/EFN|./SF|누르/VV|어서/ECD|배/NNG|경색/NNG|사용/NNG|안/MAG|하/XSV|ㅁ/ETN|설정/NNG|하/XSV|고/ECE|글씨/NNG|크기/NNG|도/JX|취향/NNG|에/JKM|맞/VV|게/ECD|설정/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF|그러/VV|ㅁ/ETN|즐/MAG|감/NNG|되/VV|세요/EFN|./SF"
"콘텐츠는 좋아요. 그렇지만 배속 기능이랑 보던 영상을 앱 켜자마자 이어볼 수 있는 기능 추가되면 좋겠어요.","콘텐츠/NNG|는/JX|좋/VA|아요/EFN|./SF|그렇/VV|지만/ECE|배/NNG|속/NNG|기능/NNG|이랑/JC|보/VV|더/EPT|ㄴ/ETD|영상/NNG|을/JKO|앱/NNG|켜/VV|자마자/ECE|있/VV|어/ECD|보/VV|ㄹ/ETD|수/NNB|있/VV|는/ETD|기능/NNG|추가/NNG|되/VV|면/ECE|좋/VA|겠/EPT|어요/EFN|./SF"
"모바일에서 자막설정 좀 할 수 있게 해주세요. 자막이 넘 작음.","스마트폰/NNG|에서/JKM|자막/NNG|설정/NNG|좀/MAG|하/VV|ㄹ/ETD|수/NNB|있/VV|게/ECD|하/VV|어/ECS|주/VXV|세요/EFN|./SF|자막/NNG|이/JKS|넘/MAG|작/VA|음/ETN|./SF"
"어릴적보더애니 감성자극눈물납니다 자맙음성지원됍니다 누가안된다고 좋아요.","어리/VV|ㄹ/ETD|적/NNB|보더/NNG|애니메이션/NNG|감성/NNG|자극/NNG|눈물/NNG|낳/VV|ㅂ니다/EFN|자맙음성지원됍니/UN|다/JC|누/NNG|가/JKS|안/MAG|되/VV|ㄴ다고/ECE|좋/VA|아요/EFN|./SF"
"오늘 오픈한 앱이 테스트도 안하고 올리나요. 성인인증 안되는 오류정도는 충분히 확인하고 올려야죠. 실망이네요. 빨리 수정해주세요.","오늘/NNG|오픈/NNG|하/XSV|ㄴ/ETD|앱/NNG|이/JKS|테스트/NNG|도/JX|안/MAG|하/VV|고/ECE|오르/VV|나요/EFQ|./SF|성인/NNG|인증/NNG|안/MAG|되/XSV|는/ETD|오류/NNG|정도/NNG|는/JX|충분히/MAG|확인/NNG|하/XSV|고/ECE|오르/VV|어/ECS|야죠/UN|./SF|실망/NNG|이/VCP|네요/EFN|./SF|빨리/MAG|수정/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF"
"앱이 지금 몇시간째 열리지도 않습니다. 이게 뭐하자는 거죠 ?","앱/NNG|이/JKS|지금/NNG|몇/MDT|시간/NNG|째/XSN|열/VV|지/ECD|도/JX|안/MAG|습니다/EFN|./SF|이것/NP|이/JKS|뭐하/VV|자고/ECD|하/VV|는/ETD|것/NNB|이/VCP|죠/EFN|?/SF"
"PC 환경에서 자동재생 안되는 문제 언제 고치나요.","PC/OL|환경/NNG|에서/JKM|자동/NNG|재생/NNG|안/MAG|되/XSV|는/ETD|문제/NNG|언제/MAG|고치/VV|나요/EFQ|./SF"
"자막 투명도 조절이 시급해 보임.","자막/NNG|투명도/NNG|조절/NNG|이/JKS|시급/XR|하/XSV|어/ECS|보/VV|ㅁ/ETN|./SF"
"미녀와 야수 캐리비안해적 해설자 자막이 하나도 없네요 원래 없었던거 같은데 영화마다 해설이 다 나오는거 같은데 어떻게 없애는지도 모르겠고 오래전 작품들도 볼 수 있을 줄 알았는데 몇개빼고는 없고 101마리 달마시안이나 신데렐라 등 전 애들이 예전에 보던 작품들을 보고싶어해서 결제한건데 디즈니 작품은 몇개 없는거 같애요 이름만 디즈니지 디즈니 작품도 몇개 없네요 초 비추.","미녀/NNG|와/JC|야수/NNG|캐리/NNG|비/NNG|안/NNG|해적/NNG|해설자/NNG|자막/NNG|이/JKS|하나/NNG|도/JX|없/VA|네요/EFN|원래/MAG|없었/VV|더/EPT|ㄴ/ETD|거/NNB|같/VA|은데/ECD|영화/NNG|마다/JX|해설/NNG|이/JKS|다/MAG|나오/VV|는/ETD|거/NNB|같/VA|은데/ECD|어떻/VA|게/ECD|없애/VV|는지/ECS|도/JX|모르/VV|겠/EPT|고/ECE|오래전/NNG|작품/NNG|들/XSN|도/JX|보/VV|ㄹ/ETD|수/NNB|있/VV|을/ETD|줄/NNB|알/VV|았/EPT|는데/ECD|몇/MDT|개/NNM|빼/VV|고는/ECE|없/VA|고/ECE|101/NR|마/VV|리/EFQ|달마/NNG|시안/NNP|이나/JX|시/VV|ㄴ데/ECE|렐/UN|라/NNG|등/NNB|전/NNG|애/NNG|들/XSN|이/JKS|예전/NNG|에/JKM|보/VV|더/EPT|ㄴ/ETD|작품/NNG|들/XSN|을/JKO|보/VV|고/ECE|싶/VXA|어/ECD|하/VV|어서/ECD|결제/NNG|하/XSV|ㄴ/ETD|것/NNB|이/VCP|ㄴ데/ECD|디즈니/NNG|작품/NNG|은/JX|몇/MDT|개/NNM|없/VA|는/ETD|거/NNB|같애요/UN|이름/NNG|만/JX|디즈니/NNG|지/VV|디/EFQ|즈/UN|니/JC|작품/NNG|도/JX|몇/MDT|개/NNM|없/VA|네요/EFN|초/NNG|비추/NNG|./SF"
"야이 썩을 놈들아 가입하고 나서 집에서 좀 보려고 하니 한시간째 접속오류나서 못보는건 어떻게 할거냐?","야이/UN|썩/VV|을/ETD|놈/NNG|들/XSN|아/VV|아/ECS|가입/NNG|하/XSV|고/ECE|나/NP|서/JKM|집/NNG|에서/JKM|좀/MAG|보/VV|려고/ECD|하/VX|니/ECD|하/VV|ㄴ/ETD|시간/NNG|째/XSN|접속/NNG|오류/NNG|나/NP|서/JKM|못/MAG|보/VV|는/ETD|것/NNB|은/JKS|어떻/VA|게/ECD|하/VV|ㄹ/ETD|거/NNB|이/VCP|냐/EFQ|?/SF"
"기본적인 것만 충고합니다. 1 자막 사이즈 키우세요 2 키워드 기반 컨텐츠 검색 가능하게 해주세요 3 자막팀 늘려서 컨텐츠 빨리 늘려주세요.","기본적/NNG|이/VCP|ㄴ/ETD|것/NNB|만/JX|충고/NNG|하/VV|ㅂ니다/EFN|./SF|1/NR|자막/NNG|사이즈/NNG|키우/VV|세요/EFN|2/NR|키워드/NNG|기반/NNG|컨텐츠/NNG|검색/NNG|가능/NNG|하/XSV|게/ECD|하/VV|어/ECS|주/VXV|세요/EFN|3/NR|자막/NNG|팀/NNG|늘리/VV|어서/ECD|컨텐츠/NNG|빨리/MAG|늘리/VV|어/ECS|주/VXV|세요/EFN|./SF"
"자막좀 크게 1.5배속 빠르게 좀 업뎃 해주세요 나홀로집에 잇어서 좋음.","자막/NNG|좀/MAG|크/VA|게/ECD|1.5/NR|배속/NNG|빠르/VA|게/ECD|좀/MAG|업데이트/NNG|해/NNG|주세/NNG|요/JX|나/NP|홀로/MAG|집/NNG|에/JKM|있/VV|어서/ECD|좋/VA|음/ETN|./SF"
"왜 이제왔나요 이렇게 꿈잼일걸 난 이제 보네 근데 오프닝 건너띄기 다음편 이어보기가 없어서 불편하긴 하지만 딱히 그렇게 큰 지장은 없어요.","왜/MAG|이제/MAG|오/VV|았/EPT|나요/EFQ|이렇게/MAG|꿈/NNG|잼/NNG|일걸/NNG|나/NP|는/JX|이제/MAG|보/VV|네/EFN|근데/MAG|오프닝/NNG|건너/NNG|띄/VV|기/ETN|다음/NNG|편/NNB|있/VV|어/ECD|보기/NNG|가/JKS|없/VA|어서/ECD|불편/NNG|하/XSV|기/ETN|는/JKS|하지만/MAC|딱히/MAG|그렇게/MAG|크/VA|ㄴ/ETD|지장/NNG|은/JX|없/VA|어요/EFN|./SF"
"디즈니주니어에서 하던게 다 있지 않네요 디즈니주니어에서 하던 하이호 일곱난쟁이를 아이가 좋아해서 기다리고 기다리다가 결재했는데 없네요 기존에 보던 애니메이션정도는 다 있어야 하지 않나요 앞으로 추가가 될 예정인지 궁금하네요.","디즈니/NNG|주니어/NNG|에서/JKM|하/VV|더/EPT|ㄴ/ETD|것/NNB|이/JKS|다/MAG|있/VV|지/ECD|안/MAG|네요/EFN|디즈니/NNG|주니어/NNG|에서/JKM|하/VV|더/EPT|ㄴ/ETD|하이/NNG|호/NNG|일곱/NR|난쟁이/NNG|를/JKO|아이/NNG|가/JKS|좋/VV|어서/ECD|기다리/VV|고/ECE|기다리/VV|다가/ECD|결재/NNG|하/XSV|었/EPT|는데/ECD|없/VA|네요/EFN|기존/NNG|에/JKM|보/VV|더/EPT|ㄴ/ETD|애니메이션/NNG|정도/NNG|는/JX|다/MAG|있/VV|어야/ECD|하/VV|지/ECD|안/MAG|나요/EFQ|앞/NNG|으로/JKM|추가/NNG|가/JKC|되/VV|ㄹ/ETD|예정/NNG|이/VCP|ㄴ지/ECD|궁금/XR|하/XSA|네요/EFN|./SF"
"결정적으로 넷플이나 다른 OTT 앱과 비교시 화면 밝기 조절이 안됨. 영상에 밝기와 소리 조절 화면 넘김이나 스크롤이 얼마나 중요한데. 현재 플레이 되는 영상이 어떤 화질로 플레이 되는지에 관한 정보나 이런것도 좀 더 있었으면 좋겠음. 이제 시작이니. 앱 업뎃으로 추가 기능들이 더 생겼으면 좋겠음.","결정적/NNG|으로/JKM|넷플릭스/NNG|이나/JX|다른/MDT|OTT/OL|앱/NNG|과/JKM|비교시/NNG|화면/NNG|밝기/NNG|조절/NNG|이/JKS|안/MAG|되/VV|./SF|영상/NNG|에/JKM|밝기/NNG|와/JKM|소리/NNG|조절/NNG|화면/NNG|넘기/VV|ㅁ/ETN|이나/JC|스크롤/NNG|이/JKS|얼마나/MAG|중요/NNG|하/XSV|ㄴ데/ECE|./SF|현재/NNG|플레이/NNG|되/VV|는/ETD|영상/NNG|이/JKS|어떻/VA|ㄴ/ETD|화질/NNG|로/JKM|플레이/NNG|되/VV|는/ETD|지에/NNG|관/NNG|하/XSV|ㄴ/ETD|정보/NNG|나/JX|이렇/VA|ㄴ/ETD|것/NNB|도/JX|좀/MAG|더/MAG|있었/VV|으면/ECD|좋/VA|겠/EPT|음/ETN|./SF|이제/MAG|시작/NNG|이/VCP|니/ECD|./SF|앱/NNG|업뎃으/UN|로/JKM|추가/NNG|기능/NNG|들/XSN|이/JKS|더/MAG|생기/VV|었/EPT|으면/ECD|좋/VA|겠/EPT|음/ETN|./SF"
"자막 설정 그지같아요 저제 자막설정이나 불투명 판제거 안드로이드에서 제거하게 애주세요.","자막/NNG|설정/NNG|그/VV|지/ECD|같/VXA|아요/EFN|저제/MAG|자막/NNG|설정/NNG|이나/JC|불투명/NNG|판/NNG|제거/NNG|안드로이드/NNG|에서/JKM|제거/NNG|하/XSV|게/ECD|애/NNG|주/VV|세요/EFN|./SF"
"12일 밤 00시 기다려서 바로 가입함. 검색 어려움 볼것 특정 시리즈 말고 별로 없음 예정작 언제 어디서 나오는지 모름 자막 검은색 바탕화면 안에 나와서 걸리적 거림. 왜 넷플이 1위인지 나는 이제 알겠소 반성해라 디즈니.","12/NR|일/NNM|밤/NNG|00/NR|시/NNM|기다리/VV|어서/ECD|바로/MAG|가입/NNG|하/XSV|ㅁ/ETN|./SF|검색/NNG|어려움/NNG|보/VV|ㄹ/ETD|것/NNB|특정/NNG|시리즈/NNG|말/VV|고/ECE|별로/MAG|없/VA|음/ETN|예/NNG|정작/NNG|언제/MAG|어디/NP|서/JKM|나오/VV|는지/ECS|모름/NNP|자막/NNG|검정색/NNG|바탕/NNG|화면/NNG|안/NNG|에/JKM|나오/VV|아서/ECD|걸리/NNG|적/XSN|거림/NNG|./SF|왜/MAG|넷플릭스/NNG|이/JKS|1/NR|위/NNM|이/VCP|ㄴ지/ECD|나/NP|는/JX|이제/MAG|알/VV|겠/EPT|소/EFN|반/XPN|성해/NNG|라/NNG|디즈니/NNG|./SF"
"샹치를 보는데 중간중간 중국어가 나올 땐 자막이 안 나오는 부분이 있네요 개선해 주세요.","샹치/UN|를/JKO|보/VV|는데/ECD|중간/NNG|중간/NNG|중국어/NNG|가/JKS|나오/VV|ㄹ/ETD|때/VV|ㄴ/ETD|자막/NNG|이/JKS|안/MAG|나오/VV|는/ETD|부분/NNG|이/JKS|있/VV|네요/EFN|개선/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF"
"휴대폰 PC에는 문제가 없으나 OTT셋톱 일반티비 연결 시 소리 안나는 문제 있습니다. 소리 중 ENGLISH AUDIO DISCRIPTION 만 나오고 나머지는 죄다 안나옵니다. 넷플릭스 WAVVE 왓차 등등 다른 OTT는 문제없었습니다. 추가 5.1채널 사운드 지원 표시 뜨는건 죄다 안나오는 것 같군요.","스마트폰/NNG|PC/OL|에/JKM|는/JX|문제/NNG|가/JKS|없/VA|으나/ECE|OTT/OL|셋/NNG|톱/NNG|일반/NNG|티비/NNG|연결/NNG|시/NNG|소리/NNG|안/MAG|나/VV|는/ETD|문제/NNG|있/VV|습니다/EFN|./SF|소리/NNG|중/NNB|ENGLISH/OL|AUDIO/OL|DISCRIPTION/OL|만/JX|나오/VV|고/ECE|나머지/NNG|는/JX|죄다/MAG|안/MAG|나오/VV|ㅂ니다/EFN|./SF|넷플릭스/NNG|WAVVE/OL|왓차/NNG|등등/NNB|다른/MDT|OTT/OL|는/JX|문제없/VA|었/EPT|습니다/EFN|./SF|추가/NNG|5.1/NR|채널/NNG|사운드/NNG|지원/NNG|표시/NNG|뜨/VV|는/ETD|것/NNB|은/JKS|죄다/MAG|안/MAG|나오/VV|는/ETD|것/NNB|같/VA|군요/EFI|./SF"
"오류코드39 오류발생하면서 재생 안되네요.","오류/NNG|코드/NNG|39/NR|오류/NNG|발생/NNG|하/XSV|면서/ECE|재생/NNG|안/MAG|되/VV|네요/EFN|./SF"
"디즈니를 좋아해서 볼게 많아서 좋은데 성인인증 할때 인증번호 입력시 번호가 안눌려요.","디즈니/NNG|를/JKO|좋/VV|어서/ECD|보/VV|ㄹ/ETD|것/NNB|이/JKS|많/VA|아서/ECD|좋/VA|은데/ECD|성인/NNG|인증/NNG|하/VV|ㄹ/ETD|때/NNG|인증/NNG|번호/NNG|입력/NNG|시/NNG|번호/NNG|가/JKS|안/MAG|눌리/VV|어요/EFN|./SF"
"디즈니 플러스보다 앱평가 댓글이 더 재미있음 왜이리 못난애들이랑 멍청한 애들이 많냐 구글링 검색 한번좀 하고 좀 올려라 손까락들이 부러졌나.","디즈니플러스/NNG|보다/JKM|앱/NNG|평가/NNG|댓/NR|글/NNG|이/JKS|더/MAG|재미/NNG|있음/NNG|왜/MAG|이리/MAG|못나/VA|ㄴ/ETD|애/NNG|들/XSN|이랑/NNG|멍청/XR|하/XSA|ㄴ/ETD|애/NNG|들/XSN|이/JKS|많/VA|냐/EFQ|구글/NNG|링/NNG|검색/NNG|한번/NNG|좀/MAG|하/VV|고/ECE|좀/MAG|오르/VV|어/ECS|라/NNG|손/NNG|까락/NNG|들/XSN|이/JKS|부러지/VV|었/EPT|나/EFQ|./SF"
"심슨가족 더무비 밖에없네요 안드로이드 셋탑에시는 자막두 안나오구요 심슨때문에 보는건대 이게 뮌지.","심/NNG|슬/VV|ㄴ/ETD|가족/NNG|더/MAG|무비/NNG|밖/NNG|에/JKM|없/VA|네요/EFN|안드로이드/NNG|셋/NNG|탑/NNG|에/JKM|시/VV|는/ETD|자막/NNG|두/JX|안/MAG|나오/VV|구요/EFN|시/VV|ㅁ/ETN|스/VV|ㄴ/ETD|때문/NNB|에/JKM|보/VV|는/ETD|걸/VV|ㄴ대/EFN|이것/NP|이/JKS|뮌/UN|지/NNG|./SF"
"로그인 안됨 핀번호 안됨 다운 안됨 스트리밍 안됨. 어썸 다운시 배터리 광탈.","로그인/NNG|안/MAG|되/VV|핀/NNG|번호/NNG|안/MAG|되/VV|다운/NNG|안/MAG|되/VV|스트리밍/NNG|안/MAG|되/VV|./SF|어/VV|어/ECS|써/VV|ㅁ/ETN|답/XSA|ㄴ/ETD|시/NNG|배터리/NNG|광/NNG|탈/NNG|./SF"
